index;value
1986 Apr;4141,43948
1986 May;4123,64025
1986 Jun;4667,49693
1986 Jul;4839,30830
1986 Aug;5297,82548
1986 Sep;4871,31365
1986 Oct;4983,01291
1986 Nov;5131,01505
1986 Dec;4040,26912
1987 Jan;3800,05488
1987 Feb;3952,76218
1987 Mar;4374,93082
1987 Apr;4519,39461
1987 May;4910,49880
1987 Jun;5371,34230
1987 Jul;4957,60616
1987 Aug;6088,73545
1987 Sep;5403,26888
1987 Oct;5960,54019
1987 Nov;5657,12297
1987 Dec;3979,97596
1988 Jan;4396,15572
1988 Feb;4875,76949
1988 Mar;4994,74181
1988 Apr;5609,43561
1988 May;5962,90056
1988 Jun;5979,35036
1988 Jul;5918,28330
1988 Aug;6286,63832
1988 Sep;6498,59502
1988 Oct;6498,60605
1988 Nov;6265,41760
1988 Dec;4540,13230
1989 Jan;4692,03075
1989 Feb;4697,07335
1989 Mar;5466,19618
1989 Apr;5615,75051
1989 May;5601,52803
1989 Jun;5738,28150
1989 Jul;5964,68629
1989 Aug;6159,63382
1989 Sep;5898,26834
1989 Oct;6135,57199
1989 Nov;6486,21850
1989 Dec;5063,66066
1990 Jan;4821,26865
1990 Feb;5155,28080
1990 Mar;5392,72450
1990 Apr;5568,57110
1990 May;6065,68600
1990 Jun;6301,61500
1990 Jul;5811,38110
1990 Aug;6137,49908
1990 Sep;6065,55020
1990 Oct;6448,36840
1990 Nov;6497,62920
1990 Dec;4777,13570
1991 Jan;5077,46660
1991 Feb;5730,74660
1991 Mar;6031,95210
1991 Apr;5870,79210
1991 May;5937,10270
1991 Jun;6658,54410
1991 Jul;6395,23560
1991 Aug;6765,88780
1991 Sep;6579,67080
1991 Oct;6794,14680
1991 Nov;6795,59030
1991 Dec;4662,86710
1992 Jan;4865,20280
1992 Feb;5051,23480
1992 Mar;5316,68660
1992 Apr;5542,83590
1992 May;5783,38420
1992 Jun;5971,81950
1992 Jul;5819,93330
1992 Aug;6387,77990
1992 Sep;5671,47590
1992 Oct;6290,69680
1992 Nov;6434,56260
1992 Dec;4533,58623
1993 Jan;4723,92170
1993 Feb;5107,10780
1993 Mar;5697,05580
1993 Apr;5872,41590
1993 May;5919,97870
1993 Jun;5930,01390
1993 Jul;5984,82650
1993 Aug;6076,82120
1993 Sep;6104,92610
1993 Oct;6086,40010
1993 Nov;6117,08570
1993 Dec;4404,84480
1994 Jan;4361,89920
1994 Feb;4641,28170
1994 Mar;4813,89260
1994 Apr;5342,67120
1994 May;5803,99390
1994 Jun;5806,51230
1994 Jul;5700,80520
1994 Aug;6035,01530
1994 Sep;5557,46570
1994 Oct;5545,93376
1994 Nov;5327,29490
1994 Dec;4006,09410
1995 Jan;4184,63670
1995 Feb;4526,98435
1995 Mar;4650,69213
1995 Apr;4863,88101
1995 May;4980,33117
1995 Jun;5033,73940
1995 Jul;5379,72450
1995 Aug;5785,29980
1995 Sep;5308,88290
1995 Oct;5044,77320
1995 Nov;5445,15830
1995 Dec;4130,63330
1996 Jan;4077,04750
1996 Feb;4580,27540
1996 Mar;4952,14210
1996 Apr;4791,29220
1996 May;5126,72240
1996 Jun;5564,13630
1996 Jul;5388,51800
1996 Aug;5921,87540
1996 Sep;5610,10550
1996 Oct;5302,94470
1996 Nov;5763,29850
1996 Dec;3876,34580
1997 Jan;4077,17680
1997 Feb;4545,91810
1997 Mar;4862,77050
1997 Apr;5165,71470
1997 May;5481,73050
1997 Jun;5974,74810
1997 Jul;5603,09740
1997 Aug;6163,28264
1997 Sep;6039,20280
1997 Oct;6098,36990
1997 Nov;5867,87690
1997 Dec;4196,74150
1998 Jan;4548,49740
1998 Feb;5153,84560
1998 Mar;5368,69490
1998 Apr;5494,52820
1998 May;5486,28110
1998 Jun;5719,20700
1998 Jul;5788,22820
1998 Aug;6001,79640
1998 Sep;5389,56650
1998 Oct;5319,31010
1998 Nov;5440,27510
1998 Dec;4464,36400
1999 Jan;4616,99220
1999 Feb;4573,32790
1999 Mar;4602,14740
1999 Apr;5078,15610
1999 May;5028,48320
1999 Jun;5611,85360
1999 Jul;5486,00090
1999 Aug;5543,89433
1999 Sep;5441,53530
1999 Oct;5401,00410
1999 Nov;5102,50950
1999 Dec;3978,17700
2000 Jan;4348,27490
2000 Feb;4841,87100
2000 Mar;5053,85010
2000 Apr;5437,09720
2000 May;5623,56388
2000 Jun;6025,30324
2000 Jul;6253,30996
2000 Aug;6412,21030
2000 Sep;5993,03900
2000 Oct;5894,94610
2000 Nov;6055,39300
2000 Dec;4171,04410
2001 Jan;4365,02730
2001 Feb;4968,63300
2001 Mar;5426,14010
2001 Apr;5292,66620
2001 May;5582,81240
2001 Jun;5519,56740
2001 Jul;5721,97830
2001 Aug;5833,79760
2001 Sep;5609,61030
2001 Oct;5304,21200
2001 Nov;5675,31890
2001 Dec;4111,38580
2002 Jan;4611,92040
2002 Feb;4690,27410
2002 Mar;5115,54350
2002 Apr;5196,73900
2002 May;5386,69960
2002 Jun;5463,52570
2002 Jul;5367,00930
2002 Aug;5495,28270
2002 Sep;4819,63200
2002 Oct;5281,91640
2002 Nov;5698,93610
2002 Dec;4580,49870
2003 Jan;4042,69170
2003 Feb;4653,61170
2003 Mar;5308,60920
2003 Apr;4967,13980
2003 May;5335,72790
2003 Jun;5960,70140
2003 Jul;5521,47860
2003 Aug;5983,20400
2003 Sep;5508,14800
2003 Oct;5707,87720
2003 Nov;5695,84330
2003 Dec;4282,15590
2004 Jan;4226,85240
2004 Feb;4731,73660
2004 Mar;4931,08590
2004 Apr;4989,65090
2004 May;5529,24450
2004 Jun;5717,99440
2004 Jul;5558,96080
2004 Aug;6075,62290
2004 Sep;5576,01470
2004 Oct;5491,84080
2004 Nov;6169,22180
2004 Dec;4360,92650
2005 Jan;4352,42540
2005 Feb;4415,95380
2005 Mar;4650,11340
2005 Apr;4545,77705
2005 May;4731,57451
2005 Jun;4753,10120
2005 Jul;5081,47930
2005 Aug;5820,95860
2005 Sep;5542,37980
2005 Oct;5598,58680
2005 Nov;5540,33730
2005 Dec;4189,63210
2006 Jan;4692,30530
2006 Feb;4911,42790
2006 Mar;4977,76760
2006 Apr;4805,12210
2006 May;5088,50850
2006 Jun;5178,57150
2006 Jul;5005,27820
2006 Aug;5366,40060
2006 Sep;5503,94220
2006 Oct;5724,02150
2006 Nov;6053,50700
2006 Dec;4737,36840
2007 Jan;4950,69160
2007 Feb;5650,35450
2007 Mar;5768,05740
2007 Apr;5679,28880
2007 May;5524,95170
2007 Jun;5718,50530
2007 Jul;6193,84460
2007 Aug;6091,82230
2007 Sep;5812,68170
2007 Oct;5867,09380
2007 Nov;5913,43240
2007 Dec;4945,50760
2008 Jan;4958,85660
2008 Feb;5651,23160
2008 Mar;6145,82080
2008 Apr;5615,37770
2008 May;5927,86420
2008 Jun;5946,95620
2008 Jul;6429,34590
2008 Aug;6861,47380
2008 Sep;6187,64610
2008 Oct;5937,71230
2008 Nov;5590,67720
2008 Dec;4515,00910
2009 Jan;5091,97990
2009 Feb;5144,87460
2009 Mar;5889,09160
2009 Apr;5836,80190
2009 May;6184,92650
2009 Jun;6215,72500
2009 Jul;6586,74500
2009 Aug;5780,00690
2009 Sep;6110,27650
2009 Oct;6408,63420
2009 Nov;6996,91430
